Acct_id,Acct_UIDNo.,Acct_FName,Acct_MName,Acct_LName,Acct_Addr1,Acct_Addr2,Acct_City,Acct_State,Acct_phone,Acct_email,Acct_DOB,Acct_Gender,Acct_Postcode
C00000001,926-93-2157,Eric,,Barnes,716 Pacific Ave," Tacoma, WA 98402-5208",Albuquerque,NM,367-171-6840,emma.smith@gmail.com,13-12-1990,Female,47246
C00000002,806-94-5725,Eric,,Barnes,509 1/2 Puyallup Ave," Tacoma, WA 98421-1318",New York City,NY,212-423-7734,noah.thompson@gmail.com,04-02-1965,Male,10040
C00000003,614-70-9100,Eric,,Barnes,52288 Sunquist Rd," Milton Freewater, OR 97862-6856",New York City,NY,212-425-6932,olivia.johnson@outlook.com,09-10-1960,Female,10162
C00000004,580-20-3414,Kevin,,Gibson,5 W High St," Red Lion, PA 17356-1701",Indianapolis,IN,951-567-8925,liam.white@gmail.com,01-12-1976,Male,49047
C00000005,536-14-5809,Kevin,,Gibson,2775 Lebanon Rd," Manheim, PA 17545-8711",Indianapolis,IN,428-265-1568,sophia.williams@gmail.com,03-07-1980,Female,40852
C00000006,430-17-5825,Deepak,,Ramirez,233 W Hwy 61," Grand Marais, MN 55604",Portland,OR,813-629-5038,mason.lopez7@gmail.com,22-09-1939,Male,44987
C00000007,305-80-4254,Deepak,,Ramirez,233 W Hwy 61," Grand Marais, MN 55604",Louisville,KY,836-845-8120,jacob.lee7@gmail.com,25-01-1949,Male,44359
C00000008,425-96-6358,Joe,,Ford,4821 Grove Barton R," Raleigh, NC 27613",Springfield,MA,413-444-9280,ava.brown8@gmail.com,21-02-1958,Female,1101
C00000009,832-31-7252,Joe,,Ford,4821 Grove Barton R," Raleigh, NC 27613",Lynn,MA,781-995-6192,william.marek.gonzalez@gmail.com,16-10-1955,Male,1901
C00000010,295-22-6122,Joe,,Ford,4821 Grove Barton R," Raleigh, NC 27613",New Bedford,MA,508-902-5510,ethan.harris9@gmail.com,01-05-1963,Male,2740
C00000011,666-36-2990,Kevin,,Gibson,739 E Elm St Ste B," Conshohocken, PA 19428-2301",New Bedford,MA,508-688-6461,isabella.jones@hotmail.com,22-08-1970,Female,2741
C00000012,771-44-3992,Greg,,Powell,10 University Dr," Amherst, MA 01002-2243",Fargo,ND,431-869-3807,james.clark9@gmail.com,20-02-2001,Male,42009
C00000013,618-33-8801,Maria,,Porter,1115 E West Hwy," Silver Spring, MD 20910-4852",Houston,TX,840-168-6970,mia.miller@gmail.com,29-05-1994,Female,47052
C00000014,806-78-2944,Julie,,Owens,401 Lakeshore Dr," Canandaigua, NY 14424",Yonkers,NY,914-018-0811,abigail.davis5@gmail.com,22-06-1962,Female,10701
C00000015,711-78-2371,Julie,,Owens,401 Lakeshore Dr," Canandaigua, NY 14424",Omaha,NE,556-415-7930,emily.garcia43@outlook.com,28-08-1938,Female,49180
C00000016,923-11-6562,Julie,,Owens,401 Lakeshore Dr," Canandaigua, NY 14424",Omaha,NE,760-882-7015,alexander.lewis3@gmail.com,25-02-1939,Male,41275
C00000017,800-28-6783,Maria,,Porter,801 W Main St," Crisfield, MD 21817-1013",Yonkers,NY,914-238-1020,michael.robinson2@gmail.com,13-10-1954,Male,10702
C00000018,392-61-8907,Fred,,Jenkins,475 N. Lake Blvd," Tahoe City, CA 96145",Yonkers,NY,914-823-6406,charlotte.rodriguez2@gmail.com,05-04-1951,Female,10703
C00000019,832-01-3704,Fred,,Jenkins,475 N. Lake Blvd," Tahoe City, CA 96145",Charleston,WV,927-296-6436,benjamin.walker@gmail.com,28-12-1962,Male,48126
